"","Team","region","FinalRank","massey_rank"
"308","uc_riverside_highlanders","West",61,1
"306","uc_davis_aggies","West",131,2
"329","utah_valley_wolverines","West",139,3
"286","tarleton_state_texans","West",140,4
"312","ucla_bruins","West",147,5
"297","texas_state_bobcats","West",153,6
"202","north_texas_mean_green","West",157,7
"257","santa_clara_broncos","West",164,8
"355","wyoming_cowgirls","West",165,9
"1","abilene_christian_wildcats","West",177,10
"204","northern_arizona_lumberjacks","West",191,11
"2","air_force_falcons","West",200,12
"254","san_diego_toreros","West",209,13
"310","uc_santa_barbara_gauchos","West",211,14
"108","hawaii_rainbow_wahine","West",218,15
"255","san_francisco_dons","West",219,16
"293","texas_am_corpus_christi_islanders","West",221,17
"177","montana_lady_griz","West",223,18
"275","southern_utah_thunderbirds","West",236,19
"103","grand_canyon_lopes","West",245,20
"307","uc_irvine_anteaters","West",251,21
"115","idaho_state_bengals","West",256,22
"178","montana_state_bobcats","West",257,23
"221","oregon_ducks","West",260,24
"57","colorado_state_rams","West",261,25
"228","portland_pilots","West",263,26
"185","nevada_wolf_pack","West",265,27
"143","long_beach_state_beach","West",266,28
"328","utah_utes","West",270,29
"323","ut_arlington_mavericks","West",277,30
"269","south_dakota_state_jackrabbits","West",283,31
"56","colorado_buffaloes","West",287,32
"342","washington_state_cougars","West",294,33
"132","kansas_state_wildcats","West",307,34
"295","texas_longhorns","West",310,35
"268","south_dakota_coyotes","West",312,36
"38","california_baptist_lancers","West",314,37
"61","creighton_bluejays","West",318,38
"10","arizona_wildcats","West",319,39
"18","baylor_bears","West",322,40
"184","nebraska_cornhuskers","West",328,41
"187","new_mexico_lobos","West",330,42
"33","byu_cougars","West",333,43
"101","gonzaga_bulldogs","West",340,44
"215","oklahoma_sooners","West",341,45
"321","unlv_lady_rebels","West",347,46
"281","stanford_cardinal","West",349,47
"NA",NA,NA,NA,48
"NA.1",NA,NA,NA,49
"NA.2",NA,NA,NA,50
"NA.3",NA,NA,NA,51
"NA.4",NA,NA,NA,52
"NA.5",NA,NA,NA,53
"NA.6",NA,NA,NA,54
"NA.7",NA,NA,NA,55
"NA.8",NA,NA,NA,56
"NA.9",NA,NA,NA,57
"NA.10",NA,NA,NA,58
"NA.11",NA,NA,NA,59
"NA.12",NA,NA,NA,60
"NA.13",NA,NA,NA,61
"NA.14",NA,NA,NA,62
"NA.15",NA,NA,NA,63
"NA.16",NA,NA,NA,64
"NA.17",NA,NA,NA,65
"NA.18",NA,NA,NA,66
"NA.19",NA,NA,NA,67
"NA.20",NA,NA,NA,68
"NA.21",NA,NA,NA,69
"NA.22",NA,NA,NA,70
"NA.23",NA,NA,NA,71
"NA.24",NA,NA,NA,72
"NA.25",NA,NA,NA,73
"NA.26",NA,NA,NA,74
"NA.27",NA,NA,NA,75
"NA.28",NA,NA,NA,76
"NA.29",NA,NA,NA,77
"NA.30",NA,NA,NA,78
"NA.31",NA,NA,NA,79
"NA.32",NA,NA,NA,80
"NA.33",NA,NA,NA,81
"NA.34",NA,NA,NA,82
"NA.35",NA,NA,NA,83
"NA.36",NA,NA,NA,84
"NA.37",NA,NA,NA,85
"NA.38",NA,NA,NA,86
"NA.39",NA,NA,NA,87
"NA.40",NA,NA,NA,88
"NA.41",NA,NA,NA,89
"NA.42",NA,NA,NA,90
"NA.43",NA,NA,NA,91
"NA.44",NA,NA,NA,92
"NA.45",NA,NA,NA,93
"NA.46",NA,NA,NA,94
"NA.47",NA,NA,NA,95
"NA.48",NA,NA,NA,96
"NA.49",NA,NA,NA,97
"NA.50",NA,NA,NA,98
"NA.51",NA,NA,NA,99
"NA.52",NA,NA,NA,100
"NA.53",NA,NA,NA,101
"NA.54",NA,NA,NA,102
"NA.55",NA,NA,NA,103
"NA.56",NA,NA,NA,104
"NA.57",NA,NA,NA,105
"NA.58",NA,NA,NA,106
"NA.59",NA,NA,NA,107
"NA.60",NA,NA,NA,108
"NA.61",NA,NA,NA,109
"NA.62",NA,NA,NA,110
"NA.63",NA,NA,NA,111
"NA.64",NA,NA,NA,112
"NA.65",NA,NA,NA,113
"NA.66",NA,NA,NA,114
"NA.67",NA,NA,NA,115
"NA.68",NA,NA,NA,116
"NA.69",NA,NA,NA,117
"NA.70",NA,NA,NA,118
"NA.71",NA,NA,NA,119
"NA.72",NA,NA,NA,120
"NA.73",NA,NA,NA,121
"NA.74",NA,NA,NA,122
"NA.75",NA,NA,NA,123
"NA.76",NA,NA,NA,124
"NA.77",NA,NA,NA,125
"NA.78",NA,NA,NA,126
"NA.79",NA,NA,NA,127
"NA.80",NA,NA,NA,128
"NA.81",NA,NA,NA,129
"NA.82",NA,NA,NA,130
"NA.83",NA,NA,NA,131
"NA.84",NA,NA,NA,132
"NA.85",NA,NA,NA,133
"NA.86",NA,NA,NA,134
"NA.87",NA,NA,NA,135
"NA.88",NA,NA,NA,136
"NA.89",NA,NA,NA,137
"NA.90",NA,NA,NA,138
"NA.91",NA,NA,NA,139
"NA.92",NA,NA,NA,140
"NA.93",NA,NA,NA,141
"NA.94",NA,NA,NA,142
"NA.95",NA,NA,NA,143
"NA.96",NA,NA,NA,144
"NA.97",NA,NA,NA,145
"NA.98",NA,NA,NA,146
"NA.99",NA,NA,NA,147
"NA.100",NA,NA,NA,148
"NA.101",NA,NA,NA,149
"NA.102",NA,NA,NA,150
"NA.103",NA,NA,NA,151
"NA.104",NA,NA,NA,152
"NA.105",NA,NA,NA,153
"NA.106",NA,NA,NA,154
"NA.107",NA,NA,NA,155
"NA.108",NA,NA,NA,156
"NA.109",NA,NA,NA,157
"NA.110",NA,NA,NA,158
"NA.111",NA,NA,NA,159
"NA.112",NA,NA,NA,160
"NA.113",NA,NA,NA,161
"NA.114",NA,NA,NA,162
"NA.115",NA,NA,NA,163
"NA.116",NA,NA,NA,164
"NA.117",NA,NA,NA,165
"NA.118",NA,NA,NA,166
"NA.119",NA,NA,NA,167
"NA.120",NA,NA,NA,168
"NA.121",NA,NA,NA,169
"NA.122",NA,NA,NA,170
"NA.123",NA,NA,NA,171
"NA.124",NA,NA,NA,172
"NA.125",NA,NA,NA,173
"NA.126",NA,NA,NA,174
"NA.127",NA,NA,NA,175
"NA.128",NA,NA,NA,176
"NA.129",NA,NA,NA,177
"NA.130",NA,NA,NA,178
"NA.131",NA,NA,NA,179
"NA.132",NA,NA,NA,180
"NA.133",NA,NA,NA,181
"NA.134",NA,NA,NA,182
"NA.135",NA,NA,NA,183
"NA.136",NA,NA,NA,184
"NA.137",NA,NA,NA,185
"NA.138",NA,NA,NA,186
"NA.139",NA,NA,NA,187
"NA.140",NA,NA,NA,188
"NA.141",NA,NA,NA,189
"NA.142",NA,NA,NA,190
"NA.143",NA,NA,NA,191
"NA.144",NA,NA,NA,192
"NA.145",NA,NA,NA,193
"NA.146",NA,NA,NA,194
"NA.147",NA,NA,NA,195
"NA.148",NA,NA,NA,196
"NA.149",NA,NA,NA,197
"NA.150",NA,NA,NA,198
"NA.151",NA,NA,NA,199
"NA.152",NA,NA,NA,200
"NA.153",NA,NA,NA,201
"NA.154",NA,NA,NA,202
"NA.155",NA,NA,NA,203
"NA.156",NA,NA,NA,204
"NA.157",NA,NA,NA,205
"NA.158",NA,NA,NA,206
"NA.159",NA,NA,NA,207
"NA.160",NA,NA,NA,208
"NA.161",NA,NA,NA,209
"294","texas_am_international_dustdevils","West",NA,210
"NA.162",NA,NA,NA,211
"NA.163",NA,NA,NA,212
"NA.164",NA,NA,NA,213
"NA.165",NA,NA,NA,214
"NA.166",NA,NA,NA,215
"NA.167",NA,NA,NA,216
"NA.168",NA,NA,NA,217
"NA.169",NA,NA,NA,218
"NA.170",NA,NA,NA,219
"NA.171",NA,NA,NA,220
"NA.172",NA,NA,NA,221
"NA.173",NA,NA,NA,222
"NA.174",NA,NA,NA,223
"NA.175",NA,NA,NA,224
"NA.176",NA,NA,NA,225
"NA.177",NA,NA,NA,226
"NA.178",NA,NA,NA,227
"NA.179",NA,NA,NA,228
"NA.180",NA,NA,NA,229
"NA.181",NA,NA,NA,230
"NA.182",NA,NA,NA,231
"NA.183",NA,NA,NA,232
"NA.184",NA,NA,NA,233
"NA.185",NA,NA,NA,234
"NA.186",NA,NA,NA,235
"NA.187",NA,NA,NA,236
"NA.188",NA,NA,NA,237
"NA.189",NA,NA,NA,238
"NA.190",NA,NA,NA,239
"NA.191",NA,NA,NA,240
"NA.192",NA,NA,NA,241
"NA.193",NA,NA,NA,242
"NA.194",NA,NA,NA,243
"NA.195",NA,NA,NA,244
"NA.196",NA,NA,NA,245
"NA.197",NA,NA,NA,246
"NA.198",NA,NA,NA,247
"NA.199",NA,NA,NA,248
